numero, letras
349,TRECIENTOS CUARENTA Y NUEVE PESOS 
350,TRECIENTOS CINCUENTA PESOS 
351,TRECIENTOS CINCUENTA Y UN PESOS 
352,TRECIENTOS CINCUENTA Y DOS PESOS 
353,TRECIENTOS CINCUENTA Y TRES PESOS 
354,TRECIENTOS CINCUENTA Y CUATRO PESOS 
355,TRECIENTOS CINCUENTA Y CINCO PESOS 
356,TRECIENTOS CINCUENTA Y SEIS PESOS 
357,TRECIENTOS CINCUENTA Y SIETE PESOS 
358,TRECIENTOS CINCUENTA Y OCHO PESOS 
359,TRECIENTOS CINCUENTA Y NUEVE PESOS 
360,TRECIENTOS SESENTA PESOS 
361,TRECIENTOS SESENTA Y UN PESOS 
362,TRECIENTOS SESENTA Y DOS PESOS 
363,TRECIENTOS SESENTA Y TRES PESOS 
364,TRECIENTOS SESENTA Y CUATRO PESOS 
365,TRECIENTOS SESENTA Y CINCO PESOS 
366,TRECIENTOS SESENTA Y SEIS PESOS 
367,TRECIENTOS SESENTA Y SIETE PESOS 
368,TRECIENTOS SESENTA Y OCHO PESOS 
369,TRECIENTOS SESENTA Y NUEVE PESOS 
370,TRECIENTOS SETENTA PESOS 
371,TRECIENTOS SETENTA Y UN PESOS 
372,TRECIENTOS SETENTA Y DOS PESOS 
373,TRECIENTOS SETENTA Y TRES PESOS 
374,TRECIENTOS SETENTA Y CUATRO PESOS 
375,TRECIENTOS SETENTA Y CINCO PESOS 
376,TRECIENTOS SETENTA Y SEIS PESOS 
377,TRECIENTOS SETENTA Y SIETE PESOS 
378,TRECIENTOS SETENTA Y OCHO PESOS 
379,TRECIENTOS SETENTA Y NUEVE PESOS 
380,TRECIENTOS OCHENTA PESOS 
381,TRECIENTOS OCHENTA Y UN PESOS 
382,TRECIENTOS OCHENTA Y DOS PESOS 
383,TRECIENTOS OCHENTA Y TRES PESOS 
384,TRECIENTOS OCHENTA Y CUATRO PESOS 
385,TRECIENTOS OCHENTA Y CINCO PESOS 
386,TRECIENTOS OCHENTA Y SEIS PESOS 
387,TRECIENTOS OCHENTA Y SIETE PESOS 
388,TRECIENTOS OCHENTA Y OCHO PESOS 
389,TRECIENTOS OCHENTA Y NUEVE PESOS 
390,TRECIENTOS NOVENTA PESOS 
391,TRECIENTOS NOVENTA Y UN PESOS 
392,TRECIENTOS NOVENTA Y DOS PESOS 
393,TRECIENTOS NOVENTA Y TRES PESOS 
394,TRECIENTOS NOVENTA Y CUATRO PESOS 
395,TRECIENTOS NOVENTA Y CINCO PESOS 
396,TRECIENTOS NOVENTA Y SEIS PESOS 
397,TRECIENTOS NOVENTA Y SIETE PESOS 
398,TRECIENTOS NOVENTA Y OCHO PESOS 
399,TRECIENTOS NOVENTA Y NUEVE PESOS 
400,CUATROCIENTOS PESOS 
401,CUATROCIENTOS UN PESOS 
402,CUATROCIENTOS DOS PESOS 
403,CUATROCIENTOS TRES PESOS 
404,CUATROCIENTOS CUATRO PESOS 
405,CUATROCIENTOS CINCO PESOS 
